sensor,time,ax,ay,az
0,247,-8,144,1024          
1,247,0,116,-1008          
0,1071,-4,136,1032         
1,1071,0,116,-1000         
0,1897,-8,140,1020         
1,1897,-12,120,-1004       
0,3615,-8,136,1028         
1,4376,-8,108,-1012        
0,4447,-4,140,1032         
1,5202,-4,112,-1000        
1,8506,0,120,-1004         
0,8578,-8,136,1028         
1,9332,-4,116,-1008        
0,10230,-4,120,1032        
1,13469,0,116,-1012        
0,13541,0,132,1028         
1,14295,-4,112,-1012       
1,15121,-8,116,-1012       
1,15947,-4,112,-1008       
1,19252,-4,120,-1008       
0,19330,-8,136,1024        
1,20078,-4,108,-1008       
