sensor,time,ax,ay,az
0,1897,-8,152,1020         
1,1897,-12,160,-1004       
0,2724,-4,152,1020         
1,2723,-12,152,-996        
0,3550,-8,148,1028         
1,4441,-8,156,-1004        
0,5202,-4,148,1028         
1,5268,-16,160,-1000       
0,7681,-12,148,1024        
0,8507,-8,148,1024         
1,8572,-12,160,-1000       
1,11056,-12,156,-996       
0,11811,-8,152,1020        
0,12638,-8,148,1020        
0,2724,-8,140,1024         
1,2723,4,124,-1004         
1,3550,-4,120,-1004        
1,6028,-4,124,-1016        
0,6100,-8,128,1020         
1,6854,-4,112,-1004        
1,7680,-4,116,-1000        
1,10991,-4,116,-1008       
0,11057,-4,128,1024        
1,11817,-8,116,-1008       
1,12643,-8,116,-1004       
1,16773,-4,116,-1008       
0,16846,-12,132,1020       
1,17599,-8,112,-1008       
1,18426,-4,116,-1008       
